round,client,epoch,loss,eval_loss,accuracy,f1
1,1,1.0,0.7266,,,
1,1,2.0,0.5393,,,
1,1,2.0,,,,
1,2,1.0,0.8144,,,
1,2,2.0,0.6267,,,
1,2,2.0,,,,
1,3,1.0,0.8062,,,
1,3,2.0,0.57,,,
1,3,2.0,,,,
1,4,1.0,0.7541,,,
1,4,2.0,0.5364,,,
1,4,2.0,,,,
2,1,1.0,0.559,,,
2,1,2.0,0.4153,,,
2,1,2.0,,,,
2,2,1.0,0.6915,,,
2,2,2.0,0.519,,,
2,2,2.0,,,,
2,3,1.0,0.6551,,,
2,3,2.0,0.4587,,,
2,3,2.0,,,,
2,4,1.0,0.6139,,,
2,4,2.0,0.4207,,,
2,4,2.0,,,,
3,1,1.0,0.398,,,
3,1,2.0,0.3278,,,
3,1,2.0,,,,
3,2,1.0,0.5854,,,
3,2,2.0,0.4511,,,
3,2,2.0,,,,
3,3,1.0,0.581,,,
3,3,2.0,0.3948,,,
3,3,2.0,,,,
3,4,1.0,0.4998,,,
3,4,2.0,0.3547,,,
3,4,2.0,,,,
