round,client,epoch,loss,eval_loss,accuracy,f1
1,1,1.0,0.7291,,,
1,1,2.0,0.5415,,,
1,1,2.0,,,,
1,2,1.0,0.8219,,,
1,2,2.0,0.6379,,,
1,2,2.0,,,,
1,3,1.0,0.8335,,,
1,3,2.0,0.5962,,,
1,3,2.0,,,,
1,4,1.0,0.7233,,,
1,4,2.0,0.522,,,
1,4,2.0,,,,
2,1,1.0,0.5705,,,
2,1,2.0,0.4172,,,
2,1,2.0,,,,
2,2,1.0,0.701,,,
2,2,2.0,0.5337,,,
2,2,2.0,,,,
2,3,1.0,0.6833,,,
2,3,2.0,0.4831,,,
2,3,2.0,,,,
2,4,1.0,0.578,,,
2,4,2.0,0.405,,,
2,4,2.0,,,,
3,1,1.0,0.4127,,,
3,1,2.0,0.3352,,,
3,1,2.0,,,,
3,2,1.0,0.5997,,,
3,2,2.0,0.4654,,,
3,2,2.0,,,,
3,3,1.0,0.6193,,,
3,3,2.0,0.427,,,
3,3,2.0,,,,
3,4,1.0,0.4507,,,
3,4,2.0,0.3354,,,
3,4,2.0,,,,
