round,client,epoch,loss,eval_loss,accuracy,f1
1,1,1.0,0.7139,,,
1,1,2.0,0.5207,,,
1,1,2.0,,,,
1,2,1.0,0.7717,,,
1,2,2.0,0.6048,,,
1,2,2.0,,,,
1,3,1.0,0.7754,,,
1,3,2.0,0.5848,,,
1,3,2.0,,,,
1,4,1.0,0.7118,,,
1,4,2.0,0.5155,,,
1,4,2.0,,,,
2,1,1.0,0.6,,,
2,1,2.0,0.4327,,,
2,1,2.0,,,,
2,2,1.0,0.6665,,,
2,2,2.0,0.519,,,
2,2,2.0,,,,
2,3,1.0,0.6583,,,
2,3,2.0,0.4987,,,
2,3,2.0,,,,
2,4,1.0,0.5822,,,
2,4,2.0,0.4145,,,
2,4,2.0,,,,
3,1,1.0,0.4944,,,
3,1,2.0,0.3691,,,
3,1,2.0,,,,
3,2,1.0,0.5632,,,
3,2,2.0,0.4591,,,
3,2,2.0,,,,
3,3,1.0,0.5627,,,
3,3,2.0,0.4391,,,
3,3,2.0,,,,
3,4,1.0,0.4672,,,
3,4,2.0,0.3505,,,
3,4,2.0,,,,
