round,client,epoch,loss,eval_loss,accuracy,f1
1,1,1.0,0.7277,,,
1,1,2.0,0.5388,,,
1,1,2.0,,,,
1,2,1.0,0.8123,,,
1,2,2.0,0.6273,,,
1,2,2.0,,,,
1,3,1.0,0.807,,,
1,3,2.0,0.5734,,,
1,3,2.0,,,,
1,4,1.0,0.746,,,
1,4,2.0,0.5338,,,
1,4,2.0,,,,
2,1,1.0,0.5614,,,
2,1,2.0,0.4085,,,
2,1,2.0,,,,
2,2,1.0,0.691,,,
2,2,2.0,0.5238,,,
2,2,2.0,,,,
2,3,1.0,0.6596,,,
2,3,2.0,0.4538,,,
2,3,2.0,,,,
2,4,1.0,0.6108,,,
2,4,2.0,0.4222,,,
2,4,2.0,,,,
3,1,1.0,0.3971,,,
3,1,2.0,0.3209,,,
3,1,2.0,,,,
3,2,1.0,0.5855,,,
3,2,2.0,0.4584,,,
3,2,2.0,,,,
3,3,1.0,0.5824,,,
3,3,2.0,0.3929,,,
3,3,2.0,,,,
3,4,1.0,0.5,,,
3,4,2.0,0.36,,,
3,4,2.0,,,,
