round,client,epoch,loss,eval_loss,accuracy,f1
1,1,1.0,0.7171,,,
1,1,2.0,0.5379,,,
1,1,2.0,,,,
1,2,1.0,0.8191,,,
1,2,2.0,0.6481,,,
1,2,2.0,,,,
1,3,1.0,0.903,,,
1,3,2.0,0.6663,,,
1,3,2.0,,,,
1,4,1.0,0.7202,,,
1,4,2.0,0.5218,,,
1,4,2.0,,,,
2,1,1.0,0.5386,,,
2,1,2.0,0.4,,,
2,1,2.0,,,,
2,2,1.0,0.7114,,,
2,2,2.0,0.5518,,,
2,2,2.0,,,,
2,3,1.0,0.6806,,,
2,3,2.0,0.4779,,,
2,3,2.0,,,,
2,4,1.0,0.5879,,,
2,4,2.0,0.4174,,,
2,4,2.0,,,,
3,1,1.0,0.3695,,,
3,1,2.0,0.3021,,,
3,1,2.0,,,,
3,2,1.0,0.6217,,,
3,2,2.0,0.4911,,,
3,2,2.0,,,,
3,3,1.0,0.639,,,
3,3,2.0,0.4274,,,
3,3,2.0,,,,
3,4,1.0,0.4749,,,
3,4,2.0,0.3502,,,
3,4,2.0,,,,
