round,client,epoch,loss,eval_loss,accuracy,f1
1,1,1.0,0.7227,,,
1,1,2.0,0.5403,,,
1,1,2.0,,,,
1,2,1.0,0.832,,,
1,2,2.0,0.6547,,,
1,2,2.0,,,,
1,3,1.0,0.8745,,,
1,3,2.0,0.6277,,,
1,3,2.0,,,,
1,4,1.0,0.7241,,,
1,4,2.0,0.5278,,,
1,4,2.0,,,,
2,1,1.0,0.5578,,,
2,1,2.0,0.4091,,,
2,1,2.0,,,,
2,2,1.0,0.7208,,,
2,2,2.0,0.5574,,,
2,2,2.0,,,,
2,3,1.0,0.6706,,,
2,3,2.0,0.4532,,,
2,3,2.0,,,,
2,4,1.0,0.5682,,,
2,4,2.0,0.4064,,,
2,4,2.0,,,,
3,1,1.0,0.3942,,,
3,1,2.0,0.3222,,,
3,1,2.0,,,,
3,2,1.0,0.6335,,,
3,2,2.0,0.4976,,,
3,2,2.0,,,,
3,3,1.0,0.6315,,,
3,3,2.0,0.4064,,,
3,3,2.0,,,,
3,4,1.0,0.4294,,,
3,4,2.0,0.3319,,,
3,4,2.0,,,,
