round,client,epoch,loss,eval_loss,accuracy,f1
1,1,1.0,0.7285,,,
1,1,2.0,0.5421,,,
1,1,2.0,,,,
1,2,1.0,0.8171,,,
1,2,2.0,0.632,,,
1,2,2.0,,,,
1,3,1.0,0.8428,,,
1,3,2.0,0.6073,,,
1,3,2.0,,,,
1,4,1.0,0.7286,,,
1,4,2.0,0.5231,,,
1,4,2.0,,,,
2,1,1.0,0.569,,,
2,1,2.0,0.4164,,,
2,1,2.0,,,,
2,2,1.0,0.6927,,,
2,2,2.0,0.5286,,,
2,2,2.0,,,,
2,3,1.0,0.6961,,,
2,3,2.0,0.4871,,,
2,3,2.0,,,,
2,4,1.0,0.5859,,,
2,4,2.0,0.4027,,,
2,4,2.0,,,,
3,1,1.0,0.4128,,,
3,1,2.0,0.3292,,,
3,1,2.0,,,,
3,2,1.0,0.5918,,,
3,2,2.0,0.4638,,,
3,2,2.0,,,,
3,3,1.0,0.6332,,,
3,3,2.0,0.4303,,,
3,3,2.0,,,,
3,4,1.0,0.4545,,,
3,4,2.0,0.3309,,,
3,4,2.0,,,,
