Epoch,Training Loss,Validation Loss,Accuracy,F1
1,0.711500,0.660392,0.717000,0.708187
2,0.566500,0.671888,0.724333,0.712302
3,0.441400,0.727935,0.724000,0.714050
4,0.319300,0.860504,0.710000,0.707416
5,0.226200,1.031344,0.705667,0.706362
